,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan
296,2015,550,44,3,1,36,77
297,2022,559,29,3,2,36,78
298,2018,550,42,3,3,60,84
299,2017,550,45,4,3,36,72
300,2016,350,23,2,1,45,72
301,2018,200,10,3,2,60,89
302,2019,486,36,3,1,36,90
303,2016,640,19,3,1,45,91
304,2015,485,38,2,1,36,79
305,2018,545,30,2,1,60,80
306,2017,545,20,5,3,45,78
307,2016,720,40,4,2,45,72
308,2015,720,36,2,3,36,72
309,2018,350,9,2,2,36,92
310,2014,560,4,3,2,36,93
311,2012,480,43,2,2,36,94
312,2013,575,35,3,3,60,84
313,2016,730,46,4,3,36,72
314,2014,580,15,3,3,36,69
315,2017,689,34,4,1,36,64
316,2013,550,31,2,1,36,95
317,2023,580,4,3,1,45,72
318,2023,594,37,2,1,36,72
