,Tahun,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Lahan,luas bangunan,Cluster
38,2019,337,0.1956521739130434,0.1666666666666666,0,0.1909547738693467,0.0290827740492169,0
39,2018,331,0.8260869565217391,0.1666666666666666,0,0.1809045226130653,0.0290827740492169,0
40,2022,350,0.0434782608695652,0.1666666666666666,0,0.3969849246231156,0.0290827740492169,0
41,2023,270,0.5,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
42,2022,357,0.0217391304347826,0.1666666666666666,0,0.3165829145728643,0.0290827740492169,0
43,2020,205,0.3695652173913043,0,0,0.1206030150753769,0,0
44,2017,495,0.7826086956521738,0.3333333333333333,0,0.5276381909547738,0.0827740492170022,2
45,2021,475,0.4130434782608695,0.3333333333333333,0.3333333333333333,0.3266331658291457,0.105145413870246,2
46,2016,299,0.5,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
47,2018,250,0.3043478260869565,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
48,2020,350,0.3913043478260869,0.1666666666666666,0,0.2211055276381909,0.0492170022371364,0
49,2018,250,0.5434782608695652,0.1666666666666666,0,0.3065326633165829,0.0290827740492169,0
50,2019,270,0.2826086956521739,0,0,0.1758793969849246,0.0290827740492169,0
51,2010,240,0.5217391304347826,0.1666666666666666,0,0.0452261306532663,0.0872483221476509,0
52,2023,270,0.3260869565217391,0,0,0.1758793969849246,0.0290827740492169,0
53,2022,295,0.1956521739130434,0.1666666666666666,0,0.4472361809045226,0.0290827740492169,0
54,2019,475,0.8260869565217391,0.1666666666666666,0,0.1959798994974874,0.0715883668903803,2
55,2020,465,0.0434782608695652,0.1666666666666666,0,0.4824120603015075,0.0671140939597315,2
56,2017,350,0.5,0.1666666666666666,0.3333333333333333,0.1557788944723618,0.0984340044742729,0
57,2021,350,0.0217391304347826,0.1666666666666666,0.3333333333333333,0.1557788944723618,0.0984340044742729,0
58,2016,350,0.3695652173913043,0.3333333333333333,0.3333333333333333,0.0904522613065326,0.1275167785234899,0
59,2018,685,0.7826086956521738,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.1208053691275167,2
60,2020,235,0.4130434782608695,0.1666666666666666,0,0.1708542713567839,0.0156599552572706,0
61,2018,270,0.5,0.1666666666666666,0,0.1256281407035175,0.0156599552572706,0
62,2019,475,0.0434782608695652,0.3333333333333333,0,0.2864321608040201,0.0827740492170022,2
63,2020,350,0.1739130434782608,0.1666666666666666,0,0.3417085427135679,0.0604026845637583,0
64,2018,235,0,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
65,2017,475,0.217391304347826,0.3333333333333333,0,0.2462311557788944,0.0536912751677852,2
66,2019,375,0.1304347826086956,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
67,2019,278,0.2391304347826087,0.1666666666666666,0,0.1758793969849246,0.0290827740492169,0
68,2018,255,0.0217391304347826,0.1666666666666666,0,0.185929648241206,0.0290827740492169,0
69,2022,235,0.2826086956521739,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
70,2023,350,0.0652173913043478,0.1666666666666666,0,0.1959798994974874,0.0380313199105145,0
71,2019,357,0.1521739130434782,0.1666666666666666,0,0.3165829145728643,0.0290827740492169,0
72,2020,680,0.3260869565217391,0.1666666666666666,0,0.1608040201005025,0.0559284116331096,2
73,2017,475,0.5869565217391304,0.1666666666666666,0,0.3417085427135679,0.0827740492170022,2
74,2021,299,0.5,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
75,2016,299,0.4565217391304347,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
76,2018,299,0.2608695652173913,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
77,2020,300,0.108695652173913,0.1666666666666666,0,0.1507537688442211,0.0290827740492169,0
78,2018,250,0.5652173913043478,0.1666666666666666,0,0.2613065326633166,0.0290827740492169,0
79,2019,375,0.1956521739130434,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
80,2020,375,0.0869565217391304,0.1666666666666666,0,0.1809045226130653,0.1096196868008948,0
81,2018,235,0.6956521739130435,0.1666666666666666,0,0.185929648241206,0.0156599552572706,0
82,2017,685,0.0434782608695652,0.3333333333333333,0.3333333333333333,0.4221105527638191,0.116331096196868,2
83,2019,270,0.1739130434782608,0,0,0.1758793969849246,0.0290827740492169,0
84,2019,227,0,0.1666666666666666,0,0.1206030150753769,0.0111856823266219,0
85,2018,275,0.217391304347826,0.1666666666666666,0,0.1708542713567839,0.0290827740492169,0
